Headline,Article,Date
Belarus joins convention on CIS democratic election standards,"...MINSK, August 5 (Itar-Tass) - Belarus has joined the CIS
 Convention on Standards for Democratic Elections, Electoral Rights
 and Freedoms, the chairwoman of the Belarussian Central Electoral
 Commission, Lidiya Yermoshina, told a news conference on
 Tuesday. ... She made the announcement at the request of the Belarussian
 Foreign Ministry. According to Yermoshina, this is the most
 comprehensive document determining the rules of holding
 elections. ... Focusing on the upcoming parliamentary election in Belarus, due
 on September 28, she said 152 observers had already started
 monitoring the election campaign....","Aug. 05, 2008"
Belarus to form database of border trespassers' fingerprints,"...MINSK, August 5 (Itar-Tass) - The Belarusian State Border
 Committee will form a database of fingerprints and photographs of
 individuals seized in attempt to trespass the Belarusian state
 border. ... The database is part of the international project ENEI-3 drafted
 by the committee, the Office of the UN High Commissioner for
 Refugees and the European Commission. ... The Belarusian database will be similar with the European one,
 head of the committee's international cooperation department Col....","Aug. 05, 2008"
Bishkek summit to consider CIS long - term economic development strategy,"...MINSK, August 5 (Itar-Tass) - A draft strategy of the CIS
 economic development for the period until 2020 will be discussed at
 the Bishkek summit in early October, Russian Permanent
 Representative to the CIS Yevgeny Belov said on Tuesday. ... ""In all, the summit will have about 18 items on the agenda. All
 of them are very important for CIS member countries, as they
 concern the CIS activity and structure,"" he said. ... The CIS presidents will consider regulations on CIS chairmanship
 and national coordinators, amendments to the agreement on the
 status of the CIS Economic Court, and energy cooperation....","Aug. 05, 2008"
Charge on crude transportation by Transneft network grows by over 19%,"...MOSCOW, August 5 (Itar-Tass) - The Federal Tariffs Service Board
 has enlarged the charge on crude transportation by Transneft trunk
 pipelines by 19.5%. ... The charge on crude supplies to domestic refineries and to
 foreign clients will stand at 15.41 rubles per 100
 tonnes/kilometers, as against 12.89 rubles in the beginning of this
 year. ... The board explained the growth with Transneft repayment of loans
 and funding of several new facilities, among them the oil port in
 the Kozmino Bay, Prime Tass said....","Aug. 05, 2008"
Colosseum lights lit up in Solzhenitsyn's memory,"...ROME, August 5 (Itar-Tass) - Authorities in Rome have decided to
 honor the memory of Russian writer Alexander Solzhenitsyn, who died
 in Moscow August 3, by switching on special lights at the
 Colosseum. ... Upon a decision of Rome Mayor Gianni Alemanno, the usual
 lighting of mild yellowish color has been changed and floodlights
 emanating whitish light have been switched on in the upper tier of
 arches of the ancient circus. ... Solzhenitsyn's departure means a huge loss not only for global
 culture but also for democracy, Alemanno said....","Aug. 05, 2008"
Criminal case opened over Troitskaya gunfire incident,"...NAZRAN, August 5 (Itar-Tass) - A criminal case was opened over
 the gunfire incident in the Ingush village of Troitskaya, in which
 a local resident was killed, the Ingush office of the Russian
 Prosecutor General's Office Investigation Committee told
 Itar-Tass. ... The office said that four people were injured and one died in
 the incident. ... A car carrying four officers of the Karabulak police department
 and a 21-year-old resident of Troitskaya came under fire at about
 6:40 p.m. Moscow time, the office said....","Aug. 05, 2008"
Criminal case opened over attack on policemen in Ingushetia,"...NAZRAN, August 5 (Itar-Tass) - A criminal case was opened over
 the attack on police officers on the Caucasus federal highway, the
 Ingush office of the Russian Prosecutor General's Office
 Investigation Committee told Itar-Tass. ... A car of Khamid Gubashev and Khizir Khasanbekov from the Russian
 Interior Ministry's investigation bureau in the Southern Federal
 District came under fire near the Gazi-Yurt town at about 6:30 p.m.
 Moscow time on Tuesday. ... The officers were wounded and taken to hospital....","Aug. 05, 2008"
Dollar's average exchange rate against rouble in Today deals goes up,"...MOSCOW, August 5 (Itar-Tass) - The U.S. dollar's average
 exchange rate against the Russian rouble in Today deals stood at
 23.4428 roubles for one U.S. dollar in Tuesday's unified trading
 session at the Moscow Interbank Currency Exchange (MICEX). ... The index increased by 4.20 kopecks against Monday, August
 4. ... The MICEX press service said on Tuesday that 776 deals worth
 1,274.368 million U.S. dollars had been concluded during the
 session....","Aug. 05, 2008"
Drug police official gunned down in Kyrgyzstan,"...BISHKEK, August 5 (Itar-Tass) - An unidentified assailant shot
 and killed a deputy director of the department for combating drug
 trafficking of Kyrgyzstan's Interior Ministry. ... Anvar Aliyev, 39, was gunned down on Monday night in central
 Bishkek. Police have not ascertained the identity of the criminal
 yet, the Interior Ministry's press service said in a press release
 on Tuesday. ... Aliyev's professional activity might have been a motive for the
 attack, investigators said. The victim is a relative of Chynybek
 Aliyev, the director of the Interior MInistry's organized crime
 department assassinated several years ago....","Aug. 05, 2008"
EU officials brief Georgia FM on EU conflict settlement offers,"...TBILISI, August 5 (Itar-Tass) - Representatives from the EU
 troika on Tuesday familiarized Georgian Foreign Minister Eka
 Tkeshelashvili with EU offers on strengthening and expanding the
 role of the European Union in the process of settlement of
 Georgia's conflicts with its breakaway regions of Abkhazia and
 South Ossetia, a Georgian Foreign Ministry report said on
 Tuesday. ... The ministry report said ""the EU is ready to more actively
 engage in the process of a direct dialogue between Tbilisi and
 Sukhumi, Tbilisi and Tskhinvali, as well as events on the
 restoration of trust between the parties in the conflicts and
 economic rehabilitation of the Abkhazian and Tskhinvali
 regions""....","Aug. 05, 2008"
Ecuadorian naval ship arrives on first - ever visit to Vladivostok,"...VLADIVOSTOK, August 5 (Itar-Tass) - An Ecuadorian naval ship has
 arrived the first-ever visit to the Russian Pacific naval base of
 Vladivostok, officials at the press service of Russia's Pacific
 Fleet told Itar-Tass. ... Ecuadorian seamen will stay here through August 10. ... Schoolship Guayas is commanded by Captain 1st Rank Freddy Garcia
 Colla and has a 120-strong crew including 16 officers and 80 naval
 cadets. ... Taking part in this trip is Ecuador's ambassador extraordinary
 and plenipotentiary to Russia, Patricio Alberto Chavez Savala....","Aug. 05, 2008"
Ecuadorian naval ship to make first - time visit to Vladivostok,"...VLADIVOSTOK, August 5 (Itar-Tass) - An Ecuadorian naval ship is
 going to make the first-ever visit to the Russian Pacific naval
 base of Vladivostok Tuesday, officials at the press service of
 Russia's Pacific Fleet told Itar-Tass. ... Schoolship Guayas is commanded by Captain 1st Rank Freddy Garcia
 Colla and has a 120-strong crew including 16 officers and 80 naval
 cadets. ... In the course of the visit, the Ecuadorian seamen will be
 received by top commanders of the Pacific Fleet and Vladivostok
 city mayor....","Aug. 05, 2008"
Emergency officials warn of possible weather problems in Moscow,"...MOSCOW, August 5 (Itar-Tass) - Russia's Ministry for Emergency
 Situations and Civil Defense /EMERCOM/ has issued a warning about a
 possibility of emergency situations in Moscow City and Moscow
 region in connection with heavy rainfall and thunderstorms expected
 Tuesday, August 5. ... ""Tuesday, Moscow City and Moscow region will likely experience
 heavy showers, hail, thunderstorms, and winds with blasts reaching
 15 meters per second to 20 meters per second,"" an official at
 EMERCOM's information department told Itar-Tass....","Aug. 05, 2008"
Euro's mean weighted rate to rouble for "today" goes down,"...MOSCOW, August 5 (Itar-Tass) - The euro's mean weighted rate
 amounted to 36.4098 roubles for one euro for ""today"" delivery
 during Tuesday's unified trading at the Moscow Interbank Currency
 Exchange (MICEX). ... In comparison with Monday, euro's mean weighted rate to rouble
 for ""today"" plunged by 5.51 kopecks. ... The volume of trade equaled to 44.606 million euros and 156
 deals were concluded....","Aug. 05, 2008"
Fifth unit of Zaporozhye NPP disconnected for 50 days of repairs,"...DONETSK, August 5 (Itar-Tass) - The fifth unit of the Zaporozhye
 nuclear power plant was disconnected from the Ukrainian power
 network on Tuesday for planned repairs, a power plant source told
 Itar-Tass. ... He said the repairs would last for 50 days. The staff will check
 the unit's systems, repair and replace certain parts in order to
 ensure safe and efficient operation of the NPP. Five units of the
 Zaporozhye nuclear power plant continue to operate at present. ... The second unit of the South Ukrainian nuclear power plant was
 connected to the power network earlier in the day after sixty days
 of planned repairs, Energoatom told Itar-Tass....","Aug. 05, 2008"
Finance Ministry to present draft federal budget for 2009 - 2011 on Aug 8,"...MOSCOW, August 5 (Itar-Tass) - The Russian Finance Ministry will
 present a draft federal budget for 2009-2011 on August 8,
 Vice-Premier and Finance Minister Alexei Kudrin said at a Tuesday
 meeting of the working group on inter-budgetary relations. ... He said the government would consider the draft after August 20,
 and the State Duma would receive it by August 26. ... ""I am ready to listen to all leaders of the State Duma factions
 by that time. Factions can present their proposals individually,""
 Kudrin said....","Aug. 05, 2008"
First office of United Russia chairman opens in Siberia,"...ULAN-UDE, August 5 (Itar-Tass) - The first in the Siberian
 federal district community liaison office of chairman of the United
 Russia party Vladimir Putin has begun work in the Trans-Baikal
 territory on Tuesday. Governor of the Trans-Baikal territory Ravil
 Geniatulin and chairman of the Chita regional Duma (legislature)
 Anatoly Romanov are receiving visitors in the office on the opening
 day. ... The press service of the regional branch of United Russia told
 Itar-Tass that the region's population can ""apply with any
 question"" to the office daily on weekdays from 10:00 to 17:00, ""all
 applications will be under control of the federal structures of
 United Russia....","Aug. 05, 2008"
Former Kaluga customs officer sentenced to seven years in custody,"...MOSCOW, August 5 (Itar-Tass) - Former chief of the Kaluga
 customs office's internal security service Alexander Rakov has been
 sentenced to seven years in custody for extorting money from a
 businessman, the Russian Prosecutor General's Office said on
 Tuesday. ... The office said that Rakov demanded 173,000 rubles from a
 businessman in 2007 for smooth customs clearance of his cargo. ... The court also stripped Rakov of his rank of a customs service
 colonel....","Aug. 05, 2008"
Former mayor of southern Russian city arrested in Austria,"...ROSTOV-ON-DON, August 5 (Itar-Tass) - Former mayor of the
 southern Russian city of Stavropol, Dmitry Kuzmin, whom the
 authorities placed on an international wanted list, has been
 arrested at an airport in Austria and documents for his extradition
 are being prepared now, a source at the Russian Interior Ministry's
 branch in the Southern Federal District said. ... In February, the Stavropol territory department for
 investigations instituted an investigation accusing Kuzmin of a
 misuse of occupational powers in detriment of the interests of
 public service and the heavy consequences that ensued....","Aug. 05, 2008"
"Four wounded, one dead in gunfire in Ingushetia's village","...NAZRAN, August 5 (Itar-Tass) - Four people were injured and one
 died in a gunfire incident in Ingushetia's village of Troitskaya,
 the Ingush office of the Russian Prosecutor General's Office
 Investigation Committee told Itar-Tass with the reference to the
 updated information. ... A car carrying four police officers and a local resident came
 under fire at about 6:40 p.m. Moscow time, the office said. Five
 people were injured, and one of them died on the way to
 hospital. ... Crime scene investigation is in progress, the office said....","Aug. 05, 2008"
Fuel subsidies necessary for survival of Russian fishing industry,"...PETROPAVLOVSK-KAMCHATSKY, August 5 (Itar-Tass) - Fuel subsidies
 are necessary for the survival of the Russian fishing industry,
 Federation Council representatives said at a
 Petropavlovsk-Kamchatsky meeting chaired by house speaker Sergei
 Mironov. ... ""Fuel expenditures make up 40-50% of fish costs,"" Chairman of
 the Kamchatka Territorial Legislative Assembly Boris Nevzorov said.
 ""Fuel prices have grown up eight times since the late 1980s. A
 tonne of diesel fuel costs more than a tonne of frozen
 flatfish....","Aug. 05, 2008"
Georgia denies alleged violation of Olympic truce principles,"...TBILISI, August 5 (Itar-Tass) - The Georgian Defense Ministry
 has called 'unfounded and slanderous' claims of the alleged
 violation of Olympic truce principles in the Georgian-Ossetian
 conflict zone. ... ""Georgian authorities invariably support peaceful settlement of
 conflicts. Georgia not only supports Olympic truce principles but
 also opposes any hostilities at any time of the year. It thinks
 that peace negotiations are the only way to resolve conflicts,"" the
 ministry said on Tuesday. ... At the same time, the ministry accused ""Russia of supporting the
 separatist regimes on the Georgian territory....","Aug. 05, 2008"
Georgia to demand demilitarization of Ossetian conflict zone - state minister,"...TBILISI, August 5 (Itar-Tass) - Georgia will appeal for
 demilitarization of the Georgian-Ossetian conflict zone and
 fulfillment of earlier agreements at the Tskhinvali meeting with
 de-facto South Ossetian authorities, Georgian State Minister for
 Reintegration and Special Presidential Representative for the
 Settlement of Conflicts Temur Iakobashvili said on Tuesday. ... He also said they would demand ""joint monitoring of the South
 Ossetian sector of the Georgian-Russian border [the Roksky tunnel]
 by Georgian and Russian representatives and the enlargement of the
 OSCE monitoring mission in the conflict zone....","Aug. 05, 2008"
Georgia welcomes EU offers on bigger role in Abkhazian settlement,"...TBILISI, August 5 (Itar-Tass) - The Georgian Foreign Ministry
 welcomes a decision of EU's standing committee on security, which
 has approved offers on a bigger role of the European Union in the
 settlement of the Georgian-Abkhazian conflict within the framework
 of the internationally recognized borders of Georgia, a ministry
 statement said on Tuesday. ... It said ""Georgia considers this decision of the EU as a major
 step towards strengthening the role of the international community
 in the settlement of the conflict""....","Aug. 05, 2008"
"Global climate change reality, not science fiction - UN head","...MEXICO, August 5 (Itar-Tass) - The global climate change is a
 reality, not science fiction, UN Secretary-General Ban Ki-moon
 stated at the Mexican parliament's Senate on Monday. The climate
 change is causing the food shortages and they lead to the
 development slowdown, he stressed. ... In the words of the UN chief, today the world is facing three
 critically important challenges that require a global response. He
 said he was referring to the climate change problem, food crisis
 and the need to ensure sustainable development....","Aug. 05, 2008"
Government reduces number of deputy heads of Federal Environment Service,"...MOSCOW, August 5 (Itar-Tass) - The Russian government has
 reduced the number of deputy heads of the Federal Environmental
 Supervisory Service from four to three, the governmental press
 office said on Tuesday. ... The service's deputy heads include Alexei Akulov, Ivan
 Klemenkov, Oleg Mitvol and Vladimir Smolin. Vladimir Kirillov is
 their boss. ... A service source told Itar-Tass they had not decided which of
 the deputy heads was redundant. The most probable candidates are
 Mitvol and Klemenkov....","Aug. 05, 2008"
"Hiroshima, Nagasaki bombings change world history - Gryzlov","...MOSCOW, August 5 (Itar-Tass) - The events of August 6 and 9,
 1945, were the turning point in the history of mankind, State Duma
 Speaker Boris Gryzlov said ahead of Hiroshima Day. ... ""We can say 63 years after that memory of innocent victims of
 the barbarian bombardment was a factor of international security,""
 Gryzlov said. ... The non-proliferation of weapons of mass destruction remains in
 the focus of world politics despite the end of the Cold War and the
 nuclear deterrence system developed by the international community,
 he said....","Aug. 05, 2008"
Ingush law - enforcement looking for killers of policeman,"...NAZRAN, August 5 (Itar-Tass) - A search is underway in
 Ingushetia for the criminals who fired upon a car carrying a
 policeman, killing him and his passenger. The police officer, Islam
 Ozdoyev, and Ingushetia resident Akhmed Shukhanov died on the spot
 of their wounds. ... A criminal case was opened over ""attempted murder of
 law-enforcement official, murder committed by a group of persons
 and illegal acquisition, keeping and carrying of firearms and
 ammunition,"" the Investigations Committee (SPK) department for
 Ingushetia told Itar-Tass on Tuesday....","Aug. 05, 2008"
"Ingush opposition wants Aushev back, Kremlin unlikely to yield","...MOSCOW, August 5 (Itar-Tass) - The Ingush opposition gathered
 80,000 signatures to back the demand for the resignation of
 President Murat Zyazikov, whom it blames for woes of the republics,
 and seeks the return of the first leader of the republic Ruslan
 Aushev. ... Experts believe the Kremlin is unlikely to respond positively to
 the demarche, as the federal center frowns on blackmail in
 principle. Nevertheless, this action is an evidence of a very bad
 situation in the republic bordering on Chechnya, which cannot be
 ignored....","Aug. 05, 2008"
Ingush organized crime department employee gunned down,"...NAZRAN, August 5 (Itar-Tass) - Unidentified attackers in
 Ingushetia on Tuesday sprayed automatic fire at a car carrying a
 police officer from the organized crime department of the
 republic's Interior Ministry. He died on the spot of his wounds,
 the Interior Ministry told Itar-Tass. ... The attackers, driving a VAZ-21112 without license plates,
 ambushed Bekkhan Buzurtanov at an intersection of Sovetskaya and
 Mutaliyeva Street at 09:00, Moscow time. ... A manhunt for the criminal is underway....","Aug. 05, 2008"
"Ingush police officer killed, three villagers injured","...NAZRAN, August 5 (Itar-Tass) - A staff member of the Ingush
 Interior Ministry's organized crime department was killed in an
 attack on his house in the Yandyrka village, a ministry source told
 Itar-Tass on Tuesday. ... He said three local residents were injured. ... The house of Ibragim Kursayev was put under fire at about 10:00
 p.m. Moscow time. The police are searching for the assailants. ... Three people, among them two policemen and a local resident,
 were killed in Ingushetia earlier in the day....","Aug. 05, 2008"
Iran message contains transcript of Jalili - Solana telephone conversations - IRNA,"...TEHRAN, August 5 (Itar-Tass) - The message delivered by the
 Iranian ambassador in Brussels to European diplomats on Tuesday
 appeared to be a transcript of telephone conversations between
 Iranian Supreme National Security Council Secretary Saeed Jalili
 and EU High Representative for Common Foreign and Security Policy
 Javier Solana, the Iranian news agency IRNA said with the reference
 to a source in the Iranian Security Council. ... ""The message was a transcript of Monday telephone negotiations
 between Solana and Jalili....","Aug. 05, 2008"
Iran presents written response to sextet proposals,"...TEHRAN, August 5 (Itar-Tass) - The Iranian ambassador in
 Brussels has handed over to European diplomats the Iranian written
 response to the proposals of the sextet (five permanent members of
 the UN Security Council and Germany) concerning the settlement of
 the Iranian nuclear problem, the news agency Fars said on Tuesday
 with the reference to a well-informed source. ... ""Iranian Supreme National Security Council Secretary Saeed
 Jalili assured EU High Representative for Common Foreign and
 Security Policy Javier Solana by phone that the Iranian written
 response would be presented to the sextet by the Iranian ambassador
 in Brussels today or yesterday,"" the source said....","Aug. 05, 2008"
Japan FM sends condolences over Solzhenitsyn's death,"...TOKYO, August 5 (Itar-Tass) - Japanese Foreign Minister Masahiko
 Komura send on Tuesday a letter of condolences on behalf of the
 Japanese government to Nataliya Solzhenitsyn, the widow of Russian
 Nobel Prize winning writer Alexander Solzhenitsyn, who passed away
 in Moscow at the age of 89 late night Sunday, ministry sources told
 Tass. ... It expressed deep condolences in connection with the death of
 the man, who made a great contribution to the world culture. The
 death of Solzhenitsyn was in the focus of attention of national
 Japanese newspapers, with numerous editorials devoted to the famous
 writer....","Aug. 05, 2008"
Kamchatka governor urges coastal fishing development,"...PETROPAVLOVSK-KAMCHATSKY, August 5 (Itar-Tass) - Coastal fishing
 should be separated as a business type with the delivery of the
 catch to the territory of the coastal region and processing of
 biological resources at onshore enterprises, governor of the
 Kamchatka territory Alexei Kuzmitsky said on Tuesday at a meeting
 of the fisheries committees of the Federation Council upper house
 of Russia's parliament held under the chairmanship of FC speaker
 Sergei Mironov. ... Kuzmitsky noted that changes introduced to the federal law ""on
 fishing and preservation of aquatic biological resources totally
 excluded the coastal fishing as a notion....","Aug. 05, 2008"
Kamchatka legislator seeks ban on drift - net fishing,"...PETROPAVLOVSK-KAMCHATSKY, August 5 (Itar-Tass) - Head of
 Kamchatka's Legislative Assembly Boris Nevzorov called for banning
 drift netting, warning that its annual increase undermines the
 resource base of anadromous species of fish, including the most
 valuable kind - red salmon. ... Nevzorov said so at a visiting session of the Federation
 Council's committees on natural resources, environmental
 protection, agrarian policy and fisheries. ... The session is chaired by FC speaker Sergei Mironov....","Aug. 05, 2008"
Karachayevo - Cherkessia elects new president,"...CHERKESSK, August 5 (Itar-Tass) - Boris Yebzeyev, 58, became the
 President of Karachayevo-Cherkessia on Tuesday. ... He had been a member of the Russian Constitutional Court for the
 past seventeen years. ... The election took place at a special session of the republican
 parliament. As the parliament is on vacation, only 66 out of 73
 deputies attended the meeting. All of them voted for Yebzeyev. ... Russian President Dmitry Medvedev nominated Yebzeyev for
 Karachayevo-Cherkessia head. ... ""Boris Yebzeyev started his career as a bricklayer in Cherkessk....","Aug. 05, 2008"
Karachayevo - Cherkessia elects new president,"...CHERKESSK, August 5 (Itar-Tass) - Boris Yebzeyev, 58, became the
 President of Karachayevo-Cherkessia on Tuesday. ... He had been a member of the Russian Constitutional Court for the
 past seventeen years. ... The election took place at a special session of the republican
 parliament. As the parliament is on vacation, only 66 out of 73
 deputies attended the meeting. All of them voted for Yebzeyev. ... Russian President Dmitry Medvedev nominated Yebzeyev for
 Karachayevo-Cherkessia head. ... ""Boris Yebzeyev started his career as a bricklayer in Cherkessk....","Aug. 05, 2008"
Khanty - Mansiisk preparing to host international conference,"...YEKATERINBURG, August 5 (Itar-Tass) - Khanty-Mansiisk is
 preparing for an international conference, which will be timed to
 coincide with the production of the nine billionth tonne of Yugra
 crude, a source at the governor's office told Itar-Tass on
 Tuesday. ... He said that representatives of over 200 regions, including 19
 Russian, had confirmed their participation in the conference. ... Businessmen and scientists from countries rich in hydrocarbons
 will attend the forum entitled ""The Role of Hydrocarbon Producing
 Regions in the Achievement of Millennium Goals....","Aug. 05, 2008"
Kirovograd penitentiary to reopen on September 1,"...YEKATERINBURG, August 5 (Itar-Tass) - The Kirovograd
 penitentiary where a riot occurred last autumn, will reopen on
 September 1, 2008, a prosecutor told reporters on Tuesday. ... ""Mostly likely, the inmates who were convoyed from the prison
 after last year events will not be brought back. It's not expedient
 to relocate them,"" Kirill Teterin, the Sverdlovsk region prosecutor
 for supervision over law and order at penitentiaries, said. ... Teterin noted that the security system would not undergo
 dramatic changes....","Aug. 05, 2008"
Kyrgyz government confirms legal presence of armed US servicemen in Bishkek,"...BISHKEK, August 5 (Itar-Tass) - The press office of the Kyrgyz
 government has issued an official statement concerning the large
 amount of armaments and ammunition found last night in a house
 rented by staff members of the U.S. embassy in Bishkek. ... The police found six large-caliber machineguns, twenty-six
 5.56-millimeter submachine guns with nearly 3,000 cartridges, two
 12-caliber Winchesters, four barrels of large-caliber machineguns,
 two under-barrel grenade throwers, four sniper rifles with optic
 sights, six Beretta guns, ten thousand 9-millimeter cartridges,
 four hundred and seventy-eight 12-millimeter cartridges, 1,000
 tracer bullets, 66 empty automatics cartridge clips, and 57 empty
 Beretta cartridge clips....","Aug. 05, 2008"
Kyrgyz police seize arms found in house rented by US diplomats,"...BISHKEK, August 5 (Itar-Tass) - The large amount of armaments
 and ammunition found by Kyrgyz police officers in a private house
 in Bishkek last night has been seized. The house was rented by
 staff members of the U.S. diplomatic mission, Kyrgyz Deputy
 Interior Minister Temirkan Subanov told a Tuesday press
 conference. ... He said the police were informed about the arms storage by local
 residents. The official refused to go into detail but said that ten
 American servicemen in plain clothes were staying in the house
 during the search....","Aug. 05, 2008"
Lebanon values Russian role in Middle East settlement - ambassador,"...MOSCOW, August 5 (Itar-Tass) - Lebanon values high the Russian
 role in the Middle East settlement process and supports the Middle
 East conference in Moscow, Lebanese Ambassador to Russia Assem
 Jaber said on Tuesday. ... ""We think that Russia is a great nation, which has always
 supported Lebanese sovereignty and adhered to international laws,""
 he said. ... In the words of Jaber, Lebanon is ready to take part in the
 Middle East conference in Moscow. ... He also expressed gratitude to Russia for its support to ""the
 Lebanese national unity and constitutional order....","Aug. 05, 2008"
Lithuania rotates commando squad in southern Afghanistan,"...VILNIUS, August 5 (Itar-Tass) - Lithuania has rotated a commando
 squad stationed in the southern African province of Kandahar within
 a NATO military mission, a source at the Lithuanian Defense
 Ministry told Itar-Tass on Tuesday. ... The squad was deployed in Afghanistan in August 2007. It has
 taken part in reconnaissance operations, identification of
 suspected terrorists, detentions and neutralization of militants,
 the source said. ... Defense Minister Juozas Olekas told Itar-Tass earlier that they
 were preparing to send 50-60 servicemen to southern
 Afghanistan....","Aug. 05, 2008"
